               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12308,              0.1373,            0.028914,           0.0084763,             0.29113,           0.0052266,            0.001203,             0.12589,            0.069912,            0.028149,              0.0991,              0.0001,              0.0001
                   1,              0.1216,             0.13021,             0.02852,            0.010599,             0.20844,           0.0065406,           0.0013695,             0.12254,            0.077539,            0.027307,            0.097299,          0.00029901,          0.00029901
                   2,             0.11981,             0.13645,            0.027996,            0.013609,             0.22792,           0.0082514,           0.0018905,             0.12048,            0.082422,            0.026782,            0.095497,           0.0004967,           0.0004967
                   3,             0.11862,              0.1536,             0.02731,            0.017431,             0.21039,            0.011045,           0.0025914,             0.11578,            0.091621,            0.025647,            0.093693,          0.00069307,          0.00069307
                   4,             0.11458,             0.14292,             0.02593,            0.026307,             0.23615,            0.020691,           0.0053502,              0.1108,            0.099336,             0.02439,            0.091888,          0.00088812,          0.00088812
                   5,             0.11206,               0.153,            0.024784,            0.037168,              0.3487,             0.04682,            0.012258,             0.10555,             0.10453,            0.023016,            0.090082,           0.0010819,           0.0010819
                   6,             0.10865,             0.15022,            0.023334,            0.097426,             0.19591,            0.085385,            0.024968,             0.10119,             0.10439,            0.021509,            0.088274,           0.0012743,           0.0012743
                   7,             0.10749,             0.14969,              0.0219,              0.1678,             0.15853,             0.13471,            0.039907,             0.10187,            0.098398,            0.020239,            0.086465,           0.0014653,           0.0014653
                   8,             0.10611,             0.15548,            0.020395,             0.16637,             0.17316,              0.1507,            0.045847,             0.10117,             0.10399,             0.01843,            0.084655,           0.0016551,           0.0016551
                   9,             0.10412,             0.15148,            0.019058,             0.63776,             0.20779,             0.15185,            0.046044,            0.099876,             0.10699,            0.016824,            0.082844,           0.0018436,           0.0018436
                  10,             0.10192,              0.1456,            0.017572,             0.14635,             0.24459,             0.16923,            0.054875,            0.097229,             0.10372,            0.015753,            0.081031,           0.0020307,           0.0020307
                  11,            0.097626,              0.1296,            0.015947,             0.14874,             0.21861,             0.15524,             0.04932,            0.095202,            0.099375,             0.01369,            0.079217,           0.0022165,           0.0022165
                  12,            0.097172,             0.13883,            0.014644,             0.65174,              0.2316,             0.14338,             0.04359,            0.091895,             0.10263,            0.011783,            0.077401,            0.002401,            0.002401
                  13,            0.092734,              0.1322,            0.013479,             0.64064,              0.2013,             0.13556,             0.04282,            0.091721,            0.097734,            0.010892,            0.075584,           0.0025842,           0.0025842
                  14,             0.09074,             0.13476,            0.012035,             0.62125,             0.27092,             0.14165,            0.040707,            0.089692,             0.10674,           0.0093842,            0.073766,            0.002766,            0.002766
                  15,            0.088588,             0.13498,            0.011101,             0.64015,             0.24675,             0.15828,            0.047722,            0.089106,             0.10715,           0.0083351,            0.071947,           0.0029465,           0.0029465
                  16,            0.086817,             0.13902,            0.010842,             0.66986,             0.26407,             0.18794,            0.064532,            0.085126,             0.10564,           0.0072777,            0.070126,           0.0031258,           0.0031258
                  17,            0.081535,             0.13007,           0.0098449,             0.67335,             0.27056,             0.19348,            0.061763,             0.08493,             0.11533,           0.0067055,            0.068304,           0.0033037,           0.0033037
                  18,            0.077063,             0.12539,           0.0093921,             0.67024,             0.28139,             0.23107,            0.072505,            0.083034,             0.12439,           0.0061432,             0.06648,           0.0034802,           0.0034802
                  19,            0.073816,             0.12048,           0.0089961,             0.65799,             0.28571,             0.20697,            0.072116,            0.081077,             0.12979,           0.0057327,            0.064655,           0.0036555,           0.0036555
                  20,             0.07364,             0.12173,            0.008798,             0.63067,             0.30736,             0.17178,            0.056281,            0.082822,             0.12529,              0.0055,            0.062829,           0.0038294,           0.0038294
                  21,            0.073144,             0.12829,           0.0082772,             0.63504,             0.31397,             0.19603,            0.068026,            0.077602,             0.11975,           0.0057251,            0.061002,            0.004002,            0.004002
                  22,            0.071826,             0.12737,           0.0079244,             0.63172,             0.30952,             0.17582,            0.057619,            0.083236,              0.1199,           0.0058456,            0.059173,           0.0041733,           0.0041733
                  23,            0.068953,             0.12363,            0.007948,             0.66744,             0.29752,             0.23989,            0.087505,            0.078062,             0.10994,           0.0058388,            0.057343,           0.0043433,           0.0043433
                  24,            0.072084,             0.13063,            0.008466,             0.18063,             0.62619,             0.33156,             0.11947,            0.069919,             0.10727,           0.0059929,            0.055512,           0.0045119,           0.0045119
                  25,            0.066797,             0.11818,           0.0077451,              0.6361,             0.28139,             0.22582,            0.072203,            0.075678,             0.10516,           0.0058754,            0.053679,           0.0046793,           0.0046793
                  26,            0.070926,             0.13113,           0.0085922,               0.658,              0.2987,             0.26495,            0.086727,            0.074063,             0.10158,           0.0058655,            0.051845,           0.0048453,           0.0048453
                  27,            0.068772,             0.12934,           0.0081565,             0.24502,             0.58268,             0.38178,             0.13704,            0.071082,            0.098496,           0.0056213,             0.05001,             0.00501,             0.00501
                  28,            0.067803,             0.12564,           0.0081002,             0.33221,             0.64211,             0.47675,             0.17195,            0.070718,             0.10004,           0.0055946,            0.048173,           0.0051733,           0.0051733
                  29,            0.066906,             0.12751,           0.0080354,             0.42243,             0.73268,             0.51543,              0.2046,            0.067196,            0.099258,           0.0054863,            0.046335,           0.0053354,           0.0053354
                  30,            0.066994,             0.12243,           0.0075408,             0.37669,             0.77619,             0.51471,             0.17733,            0.066235,            0.096543,           0.0053177,            0.044496,           0.0054961,           0.0054961
                  31,            0.062765,              0.1225,           0.0070518,             0.47927,             0.77403,             0.55861,             0.22054,            0.070181,             0.10135,           0.0051735,            0.042656,           0.0056555,           0.0056555
